seq,pc,off,insn,desc,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,sp,lr,cpsr,note,mem
25,0x9754C,0x0,0xE5911000,"w=0xE5911000",0x2AC9EC,0x2A84CC,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"","R:0x2A84CC/4"
26,0x97550,0x0,0xE2400008,"w=0xE2400008",0x2AC9EC,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
27,0x97554,0x0,0xE584100C,"STR r1,[r4,#0xC]",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"","W:0x2A8270/4"
28,0x97558,0x0,0xEA000008,"Bcond 0x97580",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
29,0x97580,0x0,0xE3550000,"CMP r5,#0x0",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
30,0x97584,0x0,0x15941008,"w=0x15941008",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
31,0x97588,0x0,0x11510002,"w=0x11510002",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
32,0x9758C,0x0,0x8AFFFFF2,"Bcond 0x9755C",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
33,0x97590,0x0,0xE2452001,"w=0xE2452001",0x2AC9E4,0x2AC9D4,0x2ACA04,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
34,0x97594,0x0,0xE3550000,"CMP r5,#0x0",0x2AC9E4,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
35,0x97598,0x0,0xDA000005,"Bcond 0x975B4",0x2AC9E4,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"",""
36,0x975B4,0x0,0xE5840008,"STR r0,[r4,#0x8]",0x2AC9E4,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"","W:0x2A826C/4"
37,0x975B8,0x0,0xE8BD8070,"LDMFD sp!,{..pc} list=0x8070",0x2AC9E4,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x0,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F990,0x9D0E0,0x600001D3,"","R:0x27F990/4"
38,0x9D0E0,0x0,0xE35A0000,"w=0xE35A0000",0x2AC9E4,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
39,0x9D0E4,0x0,0xA5940014,"w=0xA5940014",0x2AC9E4,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","R:0x2A8278/4"
40,0x9D0E8,0x0,0xA5900004,"w=0xA5900004",0x2A84CC,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","R:0x2A84D0/4"
41,0x9D0EC,0x0,0xA5840008,"w=0xA5840008",0x2ACA1C,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","W:0x2A826C/4"
42,0x9D0F0,0x0,0xEAFFFCC4,"Bcond 0x9C408",0x2ACA1C,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
43,0x9C408,0x0,0xE59D000C,"LDR r0,[sp,#0xC]",0x2ACA1C,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","R:0x27F9AC/4"
44,0x9C40C,0x0,0xE4905004,"w=0xE4905004",0x2AF8F8,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x2020059,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","R:0x2AF8F8/4"
45,0x9C410,0x0,0xE58D000C,"STR r0,[sp,#0xC]",0x2AF8FC,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","W:0x27F9AC/4"
46,0x9C414,0x0,0xE5D40030,"w=0xE5D40030",0x2AF8FC,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","R:0x2A8294/1"
47,0x9C418,0x0,0xE310000C,"TST r0,#0xC",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
48,0x9C41C,0x0,0x0A000052,"Bcond 0x9C56C",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
49,0x9C56C,0x0,0xE594A00C,"LDR r10,[r4,#0xC]",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x0,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"","R:0x2A8270/4"
50,0x9C570,0x0,0xE1A00C25,"w=0xE1A00C25",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
51,0x9C574,0x0,0xE08A8180,"w=0xE08A8180",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9E4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
52,0x9C578,0x0,0xE205003F,"w=0xE205003F",0x0,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
53,0x9C57C,0x0,0xE3500026,"CMP r0,#0x26",0x14,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
54,0x9C580,0x0,0x908FF100,"w=0x908FF100",0x14,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
55,0x9C5D8,0x0,0xEA0001D8,"Bcond 0x9CD40",0x14,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
56,0x9CD40,0x0,0xE59F07E0,"LDR r0,[pc,#0x7E0]",0x14,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"","R:0x9D528/4"
57,0x9CD44,0x0,0xE59D100C,"LDR r1,[sp,#0xC]",0xFFFFC,0x2AC9D4,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"","R:0x27F9AC/4"
58,0x9CD48,0x0,0xE0000225,"w=0xE0000225",0xFFFFC,0x2AF8FC,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
59,0x9CD4C,0x0,0xE0800001,"w=0xE0800001",0x80004,0x2AF8FC,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
60,0x9CD50,0x0,0xE59F17D4,"LDR r1,[pc,#0x7D4]",0x32F900,0x2AF8FC,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"","R:0x9D52C/4"
61,0x9CD54,0x0,0xE0800001,"w=0xE0800001",0x32F900,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
62,0x9CD58,0x0,0xE58D000C,"STR r0,[sp,#0xC]",0x2AF904,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"","W:0x27F9AC/4"
63,0x9CD5C,0x0,0xEAFFFDA9,"Bcond 0x9C408",0x2AF904,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
64,0x9C408,0x0,0xE59D000C,"LDR r0,[sp,#0xC]",0x2AF904,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"","R:0x27F9AC/4"
65,0x9C40C,0x0,0xE4905004,"w=0xE4905004",0x2AF904,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x800054,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"","R:0x2AF904/4"
66,0x9C410,0x0,0xE58D000C,"STR r0,[sp,#0xC]",0x2AF908,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"","W:0x27F9AC/4"
67,0x9C414,0x0,0xE5D40030,"w=0xE5D40030",0x2AF908,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"","R:0x2A8294/1"
68,0x9C418,0x0,0xE310000C,"TST r0,#0xC",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
69,0x9C41C,0x0,0x0A000052,"Bcond 0x9C56C",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x400001D3,"",""
70,0x9C56C,0x0,0xE594A00C,"LDR r10,[r4,#0xC]",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x400001D3,"","R:0x2A8270/4"
71,0x9C570,0x0,0xE1A00C25,"w=0xE1A00C25",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x400001D3,"",""
72,0x9C574,0x0,0xE08A8180,"w=0xE08A8180",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x400001D3,"",""
73,0x9C578,0x0,0xE205003F,"w=0xE205003F",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x400001D3,"",""
74,0x9C57C,0x0,0xE3500026,"CMP r0,#0x26",0x1B,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x400001D3,"",""
75,0x9C580,0x0,0x908FF100,"w=0x908FF100",0x1B,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
76,0x9C5F4,0x0,0xEA0002F4,"Bcond 0x9D1CC",0x1B,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
77,0x9D1CC,0x0,0xE5940014,"LDR r0,[r4,#0x14]",0x1B,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"","R:0x2A8278/4"
78,0x9D1D0,0x0,0xE2406018,"w=0xE2406018",0x2A84CC,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2ADF7C,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
79,0x9D1D4,0x0,0xE1A00405,"w=0xE1A00405",0x2A84CC,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
80,0x9D1D8,0x0,0xE1B00BA0,"w=0xE1B00BA0",0x801B00,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x800001D3,"",""
81,0x9D1DC,0x0,0x10880180,"w=0x10880180",0x1,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x1D3,"",""
82,0x9D1E0,0x0,0x12400008,"w=0x12400008",0x2AC9DC,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x1D3,"",""
83,0x9D1E4,0x0,0x15840008,"w=0x15840008",0x2AC9D4,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x1D3,"","W:0x2A826C/4"
84,0x9D1E8,0x0,0xE5940048,"LDR r0,[r4,#0x48]",0x2AC9D4,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x1D3,"","R:0x2A82AC/4"
85,0x9D1EC,0x0,0xE3500000,"CMP r0,#0x0",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x1D3,"",""
86,0x9D1F0,0x0,0x11A0100A,"w=0x11A0100A",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
87,0x9D1F4,0x0,0x11A00004,"w=0x11A00004",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
88,0x9D1F8,0x0,0x1BFFEABD,"BL 0x97CF4",0x0,0xFFF80004,0xFFFFFFFF,0xC,0x2A8264,0x801B,0x2A84B4,0x2AF90C,0x2AC9D4,0x280400,0x2AC9D4,0x2A83C4,0x2E3099,0x27F9A0,0x9D0E0,0x600001D3,"",""
